N;City;Route;Trap code;Name GPS;Date of reading;Entidad que realizo la lectura;Epoca cultivo;Red;Black;RedBlack;Pluviometric_day;Humidity;Maximum_temperature;Observaciones;crop stage
13;Cerete;ceresanpela2;23-686-61;cereSanpela2-11;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;2;2;;80,68181818;;Lote sembrado de Maíz.;Maiz
14;Cerete;ceresanpela2;23-686-61;cereSanpela2-11;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;2;2;;80,68181818;;Lote sembrado de Maiz.;Maiz
19;Cerete;ceresanpela2;23-686-66;cereSanpela2-16;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Lote sembrado de Maíz.;Maiz
5963;Lorica;lorica;23-417-112;lorica-12;26/09/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;10;280;290;1;80,21052632;32,48;Trampa en buen Estado.;establecimiento de cultivo
325;Monteria;monteria;23-001-183;monteria-15;30/05/2013;ICA(Instituto Colombiano Agropecuario);veda;11;278;289;;;;Lote cultivado en Maíz.;Maiz
504;Cienaga de Oro;cienaga;23-162-152;cienaga-2;25/06/2013;ICA(Instituto Colombiano Agropecuario);veda;8;281;289;4,12;85,22727273;33,47333333;Area sembrada en Maíz.;Maiz
114;Monteria;monteria;23-001-192;monteria-6;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;288;288;;;;Lote cultivado en Maíz.;Maiz
20;Cerete;ceresanpela2;23-300-67;cereSanpela2-17;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Lote sembrado de Maíz .;Maiz
8275;Cotorra;Cotorrra;23-300-318;Cotorrra-19;27/03/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;75;204;279;;;;Trampa en buen Estado.;establecimiento de cultivo
486;Lorica;lorica;23-182-109;lorica-9;14/06/2013;ICA(Instituto Colombiano Agropecuario);veda;0;278;278;4,98;80,75609756;33,04;Lote sembrado en Maíz.;Maiz
106;Monteria;monteria;23-001-183;monteria-15;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;3;274;277;;;;Lote cultivado en Maíz.;Maiz
24;Cerete;ceresanpela2;23-686-71;cereSanpela2-21;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Lote sembrado en Maíz .;Maiz
9002;Lorica;Loorica;23-300-340;Loorica-17;15/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;3;265;268;7,613333333;83,82926829;32,5;Trampa en buen Estado.;establecimiento de cultivo
9623;Cotorra;Cotorrra;23-300-317;Cotorrra-18;21/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;267;267;;;;Trampa en buen Estado.;establecimiento de cultivo
51;Cerete;ceresanpela1;23-162-27;cereSanpela1-2;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Area sembrada en Maíz.;Maiz
52;Cerete;ceresanpela1;23-162-28;cereSanpela1-3;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Area sembrada en Maíz.;Maiz
54;Cerete;ceresanpela1;23-162-30;cereSanpela1-5;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Area sembrada en maíz.;Maiz
304;Lorica;lorica;23-417-111;lorica-11;30/05/2013;ICA(Instituto Colombiano Agropecuario);veda;9;250;259;4,85625;81,72727273;32,8;Lote sembrado en Maíz.;Maiz
62;Cerete;ceresanpela1;23-686-38;cereSanpela1-13;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Area sembrada en Maíz.;Maiz
7328;Lorica;lorica;23-417-104;lorica-4;16/01/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;13;240;253;0;83,14705882;32,78461538;Trampa en buen Estado.;establecimiento de cultivo
66;Cerete;ceresanpela1;23-686-42;cereSanpela1-17;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;;80,68181818;;Area sembrada en Maíz.;Maiz
